family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	81	16	26	30	95	282	90	15070	28	31	26	131	50	66	102	21	87	98	36	112	224	198	166	119	82
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	3	0	0	4	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	25	16	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	88	3	1	18	2	0	59	4	0	0	0	9	13	2	0	2	0	1	11	0	9	6	0	1
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	3	54	18	40	380	45	5	71	1	9	4	5	13	22	25	4	1	10	13	21	7	30	170	17	4
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	1	2	0	9	8	2	0	3	0	0	0	2	6	0	5	0	6	0	0	0	0	1	14	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	29	80	55	239	335	983	39	137	63	23	268	68	676	83	688	20	60	111	309	81	43	178	247	49	33
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	7	13	27	167	1263	528	21	32	49	16	4	25	76	2	86	12	14	7	486	24	13	3234	295	13	10
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XVII_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1	173	17	1482	9155	456	25	130	8	2	1	9	248	19	64	0	42	7	33	1	3	67	627	15	6
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Heliobacteriaceae	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1	777	241	5861	96397	14922	284	909	14	36	33	117	4304	93	538	55	236	60	132	58	21	252	14613	227	59
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0	3	2	484	82	18	7	1	0	0	2	26	27	1	35	0	3	2	17	0	0	109	280	2	3
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	0	29	1	14	75	62	5	5	2	0	1	7	7	3	4	1	0	0	6	0	1	4	145	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	34	22	174	2780	1025	7	20	3	0	2	9	200	5	42	1	8	1	19	0	1	45	311	9	3
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0	63	155	5606	51034	12795	108	350	12	10	19	217	3317	4	51	32	122	17	16	7	3	49	2795	112	32
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae	0	1	0	3	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	55	0	0
